id;user_id;screen_name;email;fact_id;cue_text;image_file_id;answer;lesson_id;lesson_title;sequence_number;create_time;activation;mastery_activation;alpha;presentation_start_time;presentation_duration;reaction_time;session_time;presented_cue_text_index;presented_image_index;correct;given_response;alternatives;backspace_used;backspaced_first_letter;number_of_choices;model_parameters;session_id;most_difficult;answer_method;spelling_tolerance;algorithm_id;device_info;data
14726847;69222;Peach;weatherfordariez@gmail.com;116981;;;Crystal;3323;Jellyfish;14;2023-02-07 08:53:55.174232;;;;1646091575936;1106;1106;29108;;;true;;[];false;false;0;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091575936,""presentationDuration"":1106,""factId"":116981,""reactionTime"":1106,""sessionTime"":29108,""correct"":true,""givenResponse"":"""",""alternatives"":[],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":0,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
14726849;69222;Peach;weatherfordariez@gmail.com;116981;;;Crystal;3323;Jellyfish;16;2023-02-07 08:53:55.174232;;;;1646091579154;2942;2942;34162;;;true;Crystal;"[{""id"": 116988, ""answer"": ""Deep Red"", ""correct"": false, ""imageFileId"": null}, {""id"": 116981, ""answer"": ""Crystal"", ""correct"": true, ""imageFileId"": null}, {""id"": 116980, ""answer"": ""Cauliflower"", ""correct"": false, ""imageFileId"": null}, {""id"": 116989, ""answer"": ""Normura"", ""correct"": false, ""imageFileId"": null}]";false;false;4;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091579154,""presentationDuration"":2942,""factId"":116981,""reactionTime"":2942,""sessionTime"":34162,""correct"":true,""givenResponse"":""Crystal"",""alternatives"":[{""id"":116988,""answer"":""Deep Red"",""correct"":false,""imageFileId"":null},{""id"":116981,""answer"":""Crystal"",""correct"":true,""imageFileId"":null},{""id"":116980,""answer"":""Cauliflower"",""correct"":false,""imageFileId"":null},{""id"":116989,""answer"":""Normura"",""correct"":false,""imageFileId"":null}],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":4,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
14726645;69222;Peach;weatherfordariez@gmail.com;116977;;;Lions%20Mane;3323;Jellyfish;23;2023-02-07 08:53:55.174232;;;;1646091597776;1302;1302;51144;;;true;;[];false;false;0;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091597776,""presentationDuration"":1302,""factId"":116977,""reactionTime"":1302,""sessionTime"":51144,""correct"":true,""givenResponse"":"""",""alternatives"":[],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":0,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
14726864;69222;Peach;weatherfordariez@gmail.com;116977;;;Lions%20Mane;3323;Jellyfish;25;2023-02-07 08:53:55.174232;;;;1646091600771;1342;1342;54179;;;true;Lions Mane;"[{""id"": 116988, ""answer"": ""Deep Red"", ""correct"": false, ""imageFileId"": null}, {""id"": 116977, ""answer"": ""Lions Mane"", ""correct"": true, ""imageFileId"": null}, {""id"": 116987, ""answer"": ""White-Spotted"", ""correct"": false, ""imageFileId"": null}, {""id"": 116985, ""answer"": ""Black Sea Nettle"", ""correct"": false, ""imageFileId"": null}]";false;false;4;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091600771,""presentationDuration"":1342,""factId"":116977,""reactionTime"":1342,""sessionTime"":54179,""correct"":true,""givenResponse"":""Lions Mane"",""alternatives"":[{""id"":116988,""answer"":""Deep Red"",""correct"":false,""imageFileId"":null},{""id"":116977,""answer"":""Lions Mane"",""correct"":true,""imageFileId"":null},{""id"":116987,""answer"":""White-Spotted"",""correct"":false,""imageFileId"":null},{""id"":116985,""answer"":""Black Sea Nettle"",""correct"":false,""imageFileId"":null}],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":4,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
14726861;69222;Peach;weatherfordariez@gmail.com;116981;;;Crystal;3323;Jellyfish;32;2023-02-07 08:53:55.174232;;;;1646091622184;1560;1560;75810;;;true;Crystal;"[{""id"": 116987, ""answer"": ""White-Spotted"", ""correct"": false, ""imageFileId"": null}, {""id"": 116981, ""answer"": ""Crystal"", ""correct"": true, ""imageFileId"": null}, {""id"": 116978, ""answer"": ""Moon"", ""correct"": false, ""imageFileId"": null}, {""id"": 116988, ""answer"": ""Deep Red"", ""correct"": false, ""imageFileId"": null}]";false;false;4;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091622184,""presentationDuration"":1560,""factId"":116981,""reactionTime"":1560,""sessionTime"":75810,""correct"":true,""givenResponse"":""Crystal"",""alternatives"":[{""id"":116987,""answer"":""White-Spotted"",""correct"":false,""imageFileId"":null},{""id"":116981,""answer"":""Crystal"",""correct"":true,""imageFileId"":null},{""id"":116978,""answer"":""Moon"",""correct"":false,""imageFileId"":null},{""id"":116988,""answer"":""Deep Red"",""correct"":false,""imageFileId"":null}],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":4,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
14726870;69222;Peach;weatherfordariez@gmail.com;116977;;;Lions%20Mane;3323;Jellyfish;37;2023-02-07 08:53:55.174232;;;;1646091639828;2217;2217;94111;;;true;Lions Mane;"[{""id"": 116986, ""answer"": ""Fried Egg"", ""correct"": false, ""imageFileId"": null}, {""id"": 116985, ""answer"": ""Black Sea Nettle"", ""correct"": false, ""imageFileId"": null}, {""id"": 116988, ""answer"": ""Deep Red"", ""correct"": false, ""imageFileId"": null}, {""id"": 116977, ""answer"": ""Lions Mane"", ""correct"": true, ""imageFileId"": null}]";false;false;4;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091639828,""presentationDuration"":2217,""factId"":116977,""reactionTime"":2217,""sessionTime"":94111,""correct"":true,""givenResponse"":""Lions Mane"",""alternatives"":[{""id"":116986,""answer"":""Fried Egg"",""correct"":false,""imageFileId"":null},{""id"":116985,""answer"":""Black Sea Nettle"",""correct"":false,""imageFileId"":null},{""id"":116988,""answer"":""Deep Red"",""correct"":false,""imageFileId"":null},{""id"":116977,""answer"":""Lions Mane"",""correct"":true,""imageFileId"":null}],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":4,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
14726892;69222;Peach;weatherfordariez@gmail.com;116977;;;Lions%20Mane;3323;Jellyfish;58;2023-02-07 08:53:55.174232;;;;1646091721202;2255;2255;175523;;;true;Lions Mane;"[{""id"": 116984, ""answer"": ""Atolla"", ""correct"": false, ""imageFileId"": null}, {""id"": 116990, ""answer"": ""Upside Down"", ""correct"": false, ""imageFileId"": null}, {""id"": 116977, ""answer"": ""Lions Mane"", ""correct"": true, ""imageFileId"": null}, {""id"": 116978, ""answer"": ""Moon"", ""correct"": false, ""imageFileId"": null}]";false;false;4;"{""maxAlpha"": 0.5, ""minAlpha"": 0.15, ""studyTrials"": true, ""lookAheadTime"": 15000, ""forgetThreshold"": -0.8}";538c4f6e-c490-487a-966b-baee7d9a543f;false;;;1;;"{""presentationStartTime"":1646091721202,""presentationDuration"":2255,""factId"":116977,""reactionTime"":2255,""sessionTime"":175523,""correct"":true,""givenResponse"":""Lions Mane"",""alternatives"":[{""id"":116984,""answer"":""Atolla"",""correct"":false,""imageFileId"":null},{""id"":116990,""answer"":""Upside Down"",""correct"":false,""imageFileId"":null},{""id"":116977,""answer"":""Lions Mane"",""correct"":true,""imageFileId"":null},{""id"":116978,""answer"":""Moon"",""correct"":false,""imageFileId"":null}],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":4,""keyStrokes"":[],""model"":"""",""modelParameters"":{""lookAheadTime"":15000,""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true},""sessionId"":""538c4f6e-c490-487a-966b-baee7d9a543f"",""aggregateResponse"":false}"
31386470;69410;user4099;user4099@adrc.com;116977;;;Lions%20Mane;3323;Jellyfish;40;2023-03-13 17:12:51.573854;;;0.3;1678723966368;4868;4868;264159;0;;true;;[];false;false;0;"{""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true,""lookAheadTime"":15000}";be8761b2-3b88-4fe2-bbbe-1b9c33e80909;false;VOICE_INPUT;CASE_INSENSITIVE;1;;"{""presentationStartTime"":1678723966368,""presentationDuration"":4868,""factId"":116977,""reactionTime"":4868,""sessionTime"":264159,""correct"":true,""presentedCueTextIndex"":0,""givenResponse"":"""",""alternatives"":[],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":0,""keyStrokes"":[],""sessionId"":""be8761b2-3b88-4fe2-bbbe-1b9c33e80909"",""mostDifficult"":false,""answerMethod"":""VOICE_INPUT"",""currentTime"":1678723971236}"
31386472;69410;user4099;user4099@adrc.com;116977;;;Lions%20Mane;3323;Jellyfish;42;2023-03-13 17:13:03.823463;-0.802182519440628;;0.3;1678723980865;2586;820;276374;0;;true;lions mane;[];false;false;0;"{""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true,""lookAheadTime"":15000}";be8761b2-3b88-4fe2-bbbe-1b9c33e80909;false;VOICE_INPUT;CASE_INSENSITIVE;1;;"{""presentationStartTime"":1678723980865,""presentationDuration"":2586,""factId"":116977,""reactionTime"":820,""sessionTime"":276374,""correct"":true,""presentedCueTextIndex"":0,""givenResponse"":""lions mane"",""alternatives"":[],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":0,""keyStrokes"":[],""sessionId"":""be8761b2-3b88-4fe2-bbbe-1b9c33e80909"",""mostDifficult"":false,""answerMethod"":""VOICE_INPUT"",""currentTime"":1678723983451}"
31386480;69410;user4099;user4099@adrc.com;116977;;;Lions%20Mane;3323;Jellyfish;50;2023-03-13 17:14:06.189011;-0.76144079989217;;0.349609375;1678724037778;8056;6321;338757;0;;false;ive been scary;[];false;false;0;"{""forgetThreshold"":-0.8,""maxAlpha"":0.5,""minAlpha"":0.15,""studyTrials"":true,""lookAheadTime"":15000}";be8761b2-3b88-4fe2-bbbe-1b9c33e80909;false;VOICE_INPUT;CASE_INSENSITIVE;1;;"{""presentationStartTime"":1678724037778,""presentationDuration"":8056,""factId"":116977,""reactionTime"":6321,""sessionTime"":338757,""correct"":false,""presentedCueTextIndex"":0,""givenResponse"":""ive been scary"",""alternatives"":[],""backSpaceUsed"":false,""backSpacedFirstLetter"":false,""numberOfChoices"":0,""keyStrokes"":[],""sessionId"":""be8761b2-3b88-4fe2-bbbe-1b9c33e80909"",""mostDifficult"":false,""answerMethod"":""VOICE_INPUT"",""currentTime"":1678724045834}"
